period,ts_code,method,obs,r2,abs_MKT,abs_SMB,abs_HML,abs_UMD,coef_l1
2017-2019,000001.SZ,static,685,0.045935187535504185,0.11066548510444002,0.6608723831408064,0.4564666119841464,0.13534469157166457,1.3633491718010575
2017-2019,000001.SZ,rolling,685,0.005102095987961408,0.02032916541243379,0.17143861585302633,0.0704450878177075,0.1108574659570579,0.3730703350402256
2017-2019,000002.SZ,static,598,0.04948389745423365,0.0230325642402347,0.8112957300941239,0.27977202782433985,0.14400311882354352,1.258103440982242
2017-2019,000002.SZ,rolling,598,0.012248362885054043,0.04621469602284031,0.07731830057257666,0.29096996743882225,0.14878784328941994,0.5632908073236592
2017-2019,000004.SZ,static,505,0.06456604355715256,0.062041420363838834,0.5382875849358993,0.8216934947268955,0.05607467469798651,1.47809717472462
2017-2019,000004.SZ,rolling,505,0.008411405709957798,0.11803328419136588,0.1897241350518425,0.3670804249779362,0.07442121979330363,0.7492590640144482
2017-2019,000005.SZ,static,685,0.02395135603170495,0.19200632824553673,0.024360708283876105,0.2143481269751672,0.10178501018590994,0.53250017369049
2017-2019,000005.SZ,rolling,685,0.0017452762842110614,0.05299452845892094,0.058335840762774704,0.029523577810506376,0.01871815898414547,0.1595721060163475
2017-2019,000006.SZ,static,568,0.008843395056738146,0.01401272922636227,0.1292810224588809,0.16942525808476994,0.286403573055562,0.5991225828255751
2017-2019,000006.SZ,rolling,568,0.00728314538832997,0.019072845849716524,0.1904371826254715,0.014238737398362119,0.0032576739057080684,0.22700643977925822
2017-2019,000007.SZ,static,361,0.05019748578823202,0.29628072826141183,0.8811875678337918,0.6413896143979878,0.30748810007829425,2.1263460105714858
2017-2019,000007.SZ,rolling,361,0.009896959514750114,0.05690546739489889,0.3950092823061385,0.5118071323115804,0.16522106016423338,1.128942942176851
2017-2019,000008.SZ,static,629,0.020179389227007904,0.16769124946287492,0.12369331179855382,0.14389640975272003,0.07499526071027811,0.5102762317244268
2017-2019,000008.SZ,rolling,629,0.008587482499186616,0.12184296585830884,0.029918380419394593,0.16827060544681552,0.08767777507832078,0.4077097268028397
2017-2019,000009.SZ,static,685,0.09434227790718808,0.05599317140301968,0.8152679660101284,0.7606620735909781,0.16011639441209202,1.7920396054162182
2017-2019,000009.SZ,rolling,685,0.0029329040221643954,0.0025486193496450926,0.08220744388364067,0.1492270884554553,0.11778380200636414,0.3517669536951052
2017-2019,000010.SZ,static,684,0.002674032941623272,0.07413863455721595,0.05824026023164036,0.07164602609529103,0.14080074848790974,0.34482566937205705
2017-2019,000010.SZ,rolling,684,0.0116730855685927,0.1616729313232089,0.00031117924394463204,0.007734644518376382,0.06098152272799211,0.23070027781352204
2017-2019,000011.SZ,static,685,0.0046583073470446434,0.035080311861358154,0.07599499666447673,0.11228450547770236,0.05934818803805747,0.28270800204159474
2017-2019,000011.SZ,rolling,685,0.0008123690782715354,0.006398692679686161,0.026675624788554755,0.047077067745155354,0.062061854936855544,0.1422132401502518
2017-2019,000012.SZ,static,685,0.02666131116589665,0.05761994880618205,0.3001683073420476,0.11798442859287714,0.14687944323245888,0.6226521279735657
2017-2019,000012.SZ,rolling,685,0.01267784233141045,0.06022977000842919,0.029180505302518728,0.0845172807010516,0.07184071503042758,0.2457682710424271
2017-2019,000014.SZ,static,685,0.0032193382029716,0.030060269734369885,0.09192604475322162,0.2147602875175389,0.1526574096027006,0.489404011607831
2017-2019,000014.SZ,rolling,685,0.0005528440164042081,0.01164141761895923,0.10408515269048026,0.061704428210231727,0.08793604205201423,0.2653670405716854
2017-2019,000016.SZ,static,685,0.0091927944130199,0.005839843956700862,0.12495276585188844,0.19675978856674278,0.1351988408027542,0.46275123917808636
2017-2019,000016.SZ,rolling,685,0.0010632471505749308,0.023872154559668894,0.011953659152635437,0.060469108864261004,0.05491378682273102,0.15120870939929634
2017-2019,000017.SZ,static,672,0.017211799696294383,0.12922827490521344,0.18499245672125697,0.43077896805469507,0.1975326173593026,0.942532317040468
2017-2019,000017.SZ,rolling,672,0.011272213186604096,0.10335654833095081,0.04321970103662935,0.31524731536767187,0.3838419854655903,0.8456655502008423
